TILEID,EXPID,MEDIAN_TSNR2_LRG,MEDIAN_TSNR2_ELG,MEDIAN_DELTACHI2,N_LRG
1000,00089031,87.37725830078125,125.0544662475586,209.50987958523,1146
1001,00095203,77.88848114013672,108.24702453613281,207.55420423299074,990
1007,00088872,34.376583099365234,50.636253356933594,78.72620622813702,1183
1007,00090134,46.57636642456055,71.49040222167969,122.1481135636568,1210
1010,00097962,77.78732299804688,104.94195556640625,178.96213074447587,1314
1030,00095096,87.75176239013672,123.99933624267578,221.45845685061067,964
1078,00091483,46.01787185668945,75.43571472167969,107.18301036581397,1151
1078,00095316,27.629913330078125,39.790069580078125,56.78248589253053,1154
1080,00089157,43.329803466796875,63.29168701171875,107.20174631441478,980
1080,00089158,45.544395446777344,67.40511322021484,112.25662843510509,980
1081,00089024,43.45389175415039,63.27034378051758,109.09128286037594,1018
1081,00089025,43.60332489013672,62.69803237915039,107.45906936377287,1017
1082,00090760,83.7035903930664,105.78021240234375,206.00037010014057,1052
1083,00091171,83.28155517578125,108.21699523925781,191.1410562619567,1109
1084,00090511,82.90570068359375,117.52442932128906,209.91977137327194,1003
1085,00090401,80.49280548095703,109.38034057617188,189.6789192724973,1024
1085,00090402,15.349367141723633,20.825891494750977,28.173913680016994,1037
1086,00090761,35.76068115234375,44.60902404785156,91.76169740781188,1176
1086,00090762,42.423011779785156,52.6827392578125,117.32410023640841,1176
1086,00091172,13.805448532104492,18.51836395263672,28.120023866649717,1174
1087,00091173,79.1304702758789,101.90650939941406,211.9202835150063,1075
1088,00090509,87.58065032958984,119.75387573242188,261.6894715749695,1006
1089,00090399,41.773582458496094,55.3076286315918,114.78205595258623,1110
1089,00090400,47.447879791259766,62.99165725708008,130.31078439112753,1110
1090,00089023,87.26875305175781,124.30691528320312,227.8903723359108,1131
1091,00090512,82.98182678222656,116.68252563476562,198.14199632406235,1039
1092,00091175,81.63925170898438,109.18115234375,216.02303712256253,1074
1093,00093263,44.26331329345703,63.8537483215332,106.41453731805086,1087
1093,00093264,48.824317932128906,70.279296875,113.03209643810987,1087
1094,00090763,74.33938598632812,94.54188537597656,186.81353138759732,1119
1095,00091276,44.27589416503906,59.323753356933594,113.82399731501937,1132
1095,00091277,41.511512756347656,55.12316131591797,104.2034074338153,1132
1096,00090403,25.402584075927734,34.57741928100586,51.660477977246046,1067
1096,00090404,55.55552673339844,76.438720703125,129.73264641314745,1063
1097,00092375,87.54003143310547,122.02618408203125,231.40970116853714,1072
1098,00089161,91.51970672607422,132.25979614257812,221.4996436163783,1205
1099,00090515,80.40597534179688,112.1220703125,196.0855963304639,1201
1100,00093370,79.9468994140625,109.24421691894531,195.44786166399717,997
1101,00093475,79.81649780273438,112.85537719726562,214.8495886400342,1060
1102,00090764,74.02222442626953,94.53340911865234,194.73059612512589,1203
1102,00091082,58.36424255371094,82.6045913696289,141.79604472126812,1202
1103,00091174,87.50270080566406,115.10017395019531,230.7934532482177,1112
1104,00093369,88.83895874023438,120.01637268066406,247.29461555927992,1071
1105,00090514,84.5823974609375,119.08135986328125,225.59595493227243,1116
1105,00091067,31.793941497802734,43.795318603515625,81.64649660885334,1116
1105,00091068,56.69373321533203,78.73067474365234,155.7106885612011,1116
1106,00089028,69.06681823730469,99.9862060546875,164.77975866105407,1050
1106,00089029,20.278465270996094,29.246379852294922,39.21963321790099,1053
1107,00090513,81.26353454589844,116.45027160644531,224.2246481962502,986
1108,00091170,82.35176086425781,107.35136413574219,219.5314121581614,1161
1109,00090508,87.46151733398438,119.6664810180664,242.38068144768476,1287
1110,00091271,26.299442291259766,34.79597473144531,70.45007790997624,1081
1110,00091273,26.10063934326172,34.53795623779297,71.84104690141976,1081
1110,00091274,21.088186264038086,27.841941833496094,54.43070546165109,1083
1111,00093259,39.30574035644531,54.02430725097656,99.45487033203244,972
1111,00093260,52.368995666503906,72.17325592041016,134.96866713277996,972
1114,00093261,81.31741333007812,111.96798706054688,199.61627198010683,1082
1116,00093368,92.0948715209961,125.92381286621094,250.15610355883837,987
1117,00091375,39.98511505126953,54.9279670715332,100.42849686741829,1081
1117,00091376,47.735450744628906,64.17793273925781,121.8465907163918,1080
1120,00090397,54.03293228149414,73.43377685546875,136.63645939528942,1252
1120,00090398,36.03704833984375,49.28324890136719,87.18568054586649,1256
1120,00091062,41.793678283691406,56.93370819091797,111.28801691159606,1255
1120,00091063,48.32173156738281,65.61618041992188,124.32144900411367,1256
1124,00091066,85.09515380859375,114.42320251464844,228.4652217067778,1147
1125,00093474,80.76234436035156,112.63214111328125,186.93635811191052,1010
1126,00093580,76.67343139648438,104.79432678222656,201.33897611498833,1075
1128,00093579,75.17839050292969,103.60519409179688,188.09377805609256,1088
1129,00093372,80.3451156616211,108.07940673828125,187.41119953989983,1059
1130,00089030,85.09235382080078,118.67475128173828,197.0934174284339,1151
1134,00093371,80.2840347290039,107.66123962402344,240.4079845395172,1089
1191,00093477,81.02938842773438,114.04973602294922,194.48848766181618,1048
1192,00093582,82.61902618408203,117.62417602539062,192.47730869799852,1094
1193,00091075,12.97620677947998,17.52483558654785,26.981466248631477,1229
1193,00091176,65.73534393310547,89.10166931152344,172.81837468594313,1231
1195,00093581,78.61259460449219,109.30620574951172,178.85259570926428,1071
1196,00091074,88.10820770263672,118.70592498779297,214.16477183438838,1204
1197,00091071,78.90734100341797,105.5470962524414,197.98242657037918,1154
1198,00091072,80.68829345703125,111.99505615234375,227.5897864587605,1263
1199,00091073,81.71932983398438,112.80924987792969,200.23530970700085,1118
1200,00091383,85.93453979492188,125.79721069335938,195.0796529520303,1127
1205,00091178,81.27229309082031,111.45571899414062,192.29277923703194,1183
1206,00090766,76.62535095214844,101.64724731445312,200.31734063476324,1325
1207,00090659,77.67283630371094,107.09619903564453,207.17578231915832,1199
1208,00090660,43.81452178955078,60.732452392578125,104.21814887598157,1181
1208,00090765,32.68270492553711,43.784671783447266,71.44486727565527,1181
1209,00091179,79.71713256835938,108.37954711914062,188.1203257665038,1102
1210,00090517,77.64678955078125,108.82904815673828,192.2594415526837,1134
1211,00090767,76.49665832519531,101.71832275390625,212.48315784707665,1185
1212,00090406,42.79569625854492,62.397762298583984,92.06414245069027,1198
1212,00090407,48.79542541503906,72.44219970703125,100.85266936942935,1197
1213,00090518,78.20283508300781,112.1142578125,184.1826640451327,1170
1218,00092382,79.93492126464844,113.80101013183594,192.85111244767904,1211
1219,00091387,84.70338439941406,120.18634033203125,210.77327058371156,1222
1220,00090768,76.848388671875,103.078125,203.07738179317676,1232
1221,00093265,88.46044921875,126.16757202148438,200.9930689400062,1134
1222,00091386,83.53797149658203,120.44461059570312,201.96016282774508,1114
1223,00091177,80.15547180175781,105.70059204101562,231.14078918704763,1238
1224,00090516,78.805908203125,111.03949737548828,208.1956784389913,1295
1225,00093373,50.69383239746094,68.66832733154297,132.23590107634664,1046
1225,00093374,40.20933532714844,54.80732727050781,100.94136916846037,1047
1226,00093476,83.35364532470703,116.92733764648438,197.30374753847718,1035
1230,00091382,90.30494689941406,129.06439208984375,192.51392051484436,1130
1232,00093583,85.56256103515625,123.75942993164062,218.1891094893217,1028
1233,00093478,91.90617370605469,129.7322998046875,213.248371001333,1091
1234,00093266,80.97055053710938,113.8927993774414,202.38541801646352,1171
1235,00093269,79.2027359008789,113.90328979492188,210.5640694834292,1200
1236,00093268,84.51663208007812,120.46553039550781,190.37777467258275,1198
1237,00093375,33.804073333740234,45.97160339355469,94.83283188007772,1034
1237,00093376,54.82618713378906,76.138916015625,153.49269373249263,1034
1238,00093267,81.16104888916016,115.68667602539062,206.07701701112092,1186
1239,00091384,87.56611633300781,126.00070190429688,194.9189015608281,1184
1240,00088375,36.9404296875,50.79448318481445,87.15650000050664,1140
1240,00088536,50.6348876953125,73.24708557128906,114.26024848222733,1033
1241,00088535,86.90951538085938,123.49790954589844,219.31700334697962,1190
1242,00091381,83.88066101074219,118.95289611816406,212.93224681913853,1184
1243,00088876,88.4732894897461,126.89301300048828,226.81576156802475,1056
