# fiber x(mm) y(mm) theta(deg) phi(deg) illumination_fraction
367 137.262073 50.574285 0.598346 20.226347 1.7704e-13
368 273.415056 140.850850 1.233779 27.255439 1.54449e-13
369 168.560073 50.569362 0.717940 16.699662 1.73084e-13
370 273.068302 68.438298 1.133778 14.070051 1.57712e-13
371 132.073638 59.640775 0.592818 24.302609 1.77342e-13
372 27.569479 5.202495 0.115419 10.686330 1.8948e-13
373 100.611311 5.208541 0.413372 2.963496 1.82213e-13
374 347.712373 177.078781 1.542842 26.988288 1.41505e-13
375 278.271954 59.390638 1.145451 12.047686 1.57174e-13
376 315.317109 122.770950 1.350517 21.273803 1.49228e-13
377 231.237295 68.583008 0.976792 16.519907 1.63867e-13
378 241.599943 50.459509 0.998823 11.796967 1.6288e-13
379 220.599117 14.256269 0.897479 3.697611 1.66495e-13
380 242.026602 140.871581 1.128081 30.201545 1.58861e-13
381 373.181445 77.555365 1.509636 11.740215 1.4199e-13
382 362.869345 113.708873 1.506373 17.398924 1.42395e-13
383 367.679897 32.349544 1.465158 5.028101 1.437e-13
384 225.831725 23.317913 0.921069 5.895098 1.65655e-13
385 194.825748 95.794651 0.881827 26.183069 1.678e-13
386 262.944752 140.825704 1.198283 28.172231 1.55935e-13
387 142.366696 23.311783 0.590179 9.299350 1.77032e-13
388 252.048042 50.437595 1.038814 11.316050 1.61343e-13
389 331.340919 149.963721 1.445132 24.351338 1.45455e-13
390 226.312475 131.894522 1.057895 30.233559 1.61561e-13
391 362.566372 77.525251 1.471307 12.069441 1.43654e-13
392 210.366218 68.615936 0.898327 18.064966 1.66828e-13
393 199.793101 32.369820 0.823468 9.202906 1.69258e-13
394 304.609069 86.539557 1.268439 15.859869 1.52333e-13
395 69.407224 41.646573 0.332453 30.965115 1.84807e-13
396 231.574847 140.920714 1.093411 31.321852 1.60279e-13
397 342.176538 168.065615 1.509885 26.158719 1.42837e-13
398 252.326627 104.673174 1.101528 22.530241 1.59377e-13
399 278.697634 149.897193 1.267633 28.273533 1.53145e-13
400 379.336172 140.793886 1.595391 20.362842 1.38694e-13
401 330.718124 41.335716 1.331377 7.124326 1.49428e-13
402 163.469596 77.750846 0.738121 25.437106 1.72733e-13
403 204.946852 5.210705 0.833866 1.456412 1.68795e-13
404 121.738806 77.768606 0.590971 32.571061 1.77749e-13
405 158.127562 50.542803 0.677883 17.725601 1.74435e-13
406 405.147057 41.318567 1.604920 5.823127 1.37642e-13
407 283.980852 158.955452 1.301726 29.237486 1.51818e-13
408 310.384786 168.045278 1.405147 28.431536 1.4747e-13
409 132.009001 41.428745 0.566280 17.423564 1.77943e-13
410 84.961816 14.271376 0.353761 9.535187 1.83837e-13
411 153.036987 77.766253 0.700603 26.937552 1.74018e-13
412 320.240086 59.399427 1.302714 10.508032 1.50718e-13
413 257.586687 113.701067 1.133975 23.817092 1.58184e-13
414 205.098637 59.573436 0.867853 16.196593 1.67856e-13
415 309.799106 77.477283 1.278604 14.041031 1.51844e-13
416 105.893527 32.396373 0.454104 17.010625 1.81217e-13
417 304.441175 50.325901 1.237633 9.386443 1.53372e-13
418 215.379655 5.210919 0.875252 1.385950 1.67302e-13
419 288.554624 5.212700 1.161103 1.034928 1.56363e-13
420 142.604325 77.737991 0.663430 28.596156 1.75322e-13
421 352.404159 131.819160 1.491577 20.508650 1.43217e-13
422 90.273848 41.472258 0.407653 24.674287 1.82691e-13
423 304.392072 32.265663 1.228185 6.050777 1.53668e-13
424 121.500138 23.306174 0.506890 10.858586 1.79595e-13
425 153.095148 95.857848 0.736563 32.052020 1.73133e-13
426 168.433637 14.254219 0.690052 4.837307 1.73769e-13
427 273.162663 86.527468 1.153161 17.576207 1.57072e-13
428 341.261466 41.356631 1.370734 6.909838 1.47781e-13
429 341.249164 23.282851 1.364296 3.903145 1.48002e-13
430 226.127633 95.732558 0.993905 22.945676 1.63518e-13
431 152.876153 41.423396 0.647207 15.160855 1.75344e-13
432 320.651151 131.821279 1.381720 22.347807 1.47998e-13
433 283.317799 14.242188 1.142121 2.877796 1.57119e-13
434 320.925586 168.069113 1.439835 27.641105 1.45936e-13
435 341.631808 113.721175 1.431625 18.411385 1.45618e-13
436 262.786891 104.641713 1.138954 21.712442 1.57866e-13
437 289.591174 204.271611 1.410486 35.198350 1.47862e-13
438 272.901227 32.331812 1.107856 6.756589 1.58526e-13
439 257.745249 149.883717 1.197807 30.178808 1.56105e-13
440 347.186481 140.877365 1.485780 22.085768 1.43567e-13
441 210.225819 32.375723 0.864400 8.755025 1.67784e-13
442 372.946869 5.215925 1.479517 0.801270 1.43065e-13
443 252.631096 177.091279 1.237427 35.029981 1.54925e-13
444 126.761311 32.386867 0.535786 14.332172 1.7879e-13
445 252.130841 68.542685 1.055324 15.208518 1.60831e-13
446 353.204539 186.144020 1.575869 27.789894 1.40126e-13
447 394.527267 59.422453 1.574864 8.565327 1.39048e-13
448 205.041011 41.432453 0.850439 11.423878 1.68342e-13
449 131.913622 5.209278 0.540584 2.261439 1.78508e-13
450 278.090661 23.276350 1.124310 4.784538 1.5783e-13
451 116.473973 68.707808 0.553609 30.536286 1.7878e-13
452 152.937804 59.609147 0.670382 21.293882 1.74785e-13
453 368.111242 104.654859 1.515312 15.870571 1.41927e-13
454 95.529981 50.609221 0.443388 27.913443 1.81836e-13
455 199.733238 14.257720 0.814884 4.083065 1.69468e-13
456 236.673163 113.758768 1.060431 25.671623 1.61165e-13
457 330.759284 59.412071 1.341780 10.183066 1.49086e-13
458 357.813623 140.874800 1.522099 21.490056 1.41979e-13
459 294.208598 104.643273 1.251703 19.579310 1.53211e-13
460 226.209405 113.817293 1.023919 26.709261 1.62605e-13
461 158.203960 68.700028 0.703873 23.472883 1.73777e-13
462 278.776348 168.005308 1.301901 31.075380 1.5197e-13
