# fiber x(mm) y(mm) theta(deg) phi(deg) illumination_fraction
105 341.506658 95.632099 1.411445 15.643839 1.16079e-05
106 231.386295 104.757596 1.026913 24.358116 1.25697e-05
107 173.902048 77.719618 0.775957 24.080635 1.3101e-05
108 58.873299 5.206796 0.242959 5.054129 1.39121e-05
109 257.517079 95.613637 1.107409 20.369481 1.23823e-05
110 342.506656 186.149387 1.541442 28.523695 1.12509e-05
111 299.307420 77.437331 1.239883 14.505592 1.20562e-05
112 378.453595 68.508779 1.522310 10.260734 1.13044e-05
113 383.742177 59.465145 1.535944 8.808562 1.12671e-05
114 231.322294 86.680752 0.999671 20.541906 1.26316e-05
115 236.760146 131.843881 1.093072 29.111985 1.24161e-05
116 284.244821 195.196919 1.374693 34.478208 1.17065e-05
117 325.633216 86.575540 1.345141 14.888701 1.17847e-05
118 194.531772 23.311895 0.797682 6.833506 1.30579e-05
119 341.979025 149.939243 1.481074 23.674843 1.14182e-05
120 257.303911 59.479234 1.066251 13.016055 1.24793e-05
121 225.965838 59.533125 0.947250 14.759789 1.27478e-05
122 95.459464 32.378884 0.413598 18.736416 1.3703e-05
123 293.894499 32.263751 1.188230 6.264846 1.21837e-05
124 236.405731 59.516201 0.986948 14.130815 1.2659e-05
125 278.082781 5.212406 1.120709 1.073831 1.23503e-05
126 362.399036 41.385722 1.449054 6.514915 1.15056e-05
127 273.494589 158.945375 1.267161 30.163638 1.19881e-05
128 132.171579 77.754533 0.626873 30.467653 1.33744e-05
129 246.954232 77.602250 1.045891 17.444668 1.25263e-05
130 341.295822 59.441649 1.380759 9.879796 1.16907e-05
131 374.095636 149.860278 1.589485 21.830718 1.11135e-05
132 315.019174 68.438371 1.290086 12.257122 1.19278e-05
133 257.671136 131.785037 1.164237 27.087321 1.22442e-05
134 320.425345 95.623807 1.335516 16.616562 1.18093e-05
135 247.211931 131.811551 1.128538 28.066205 1.23313e-05
136 142.505412 59.625671 0.631433 22.704916 1.33651e-05
137 215.631046 77.669494 0.929589 19.808830 1.27862e-05
138 383.563978 5.216483 1.518620 0.779176 1.13139e-05
139 341.378874 77.535838 1.394379 12.796243 1.16548e-05
140 210.166201 14.252708 0.856248 3.879651 1.294e-05
141 105.830569 14.270343 0.438012 7.679524 1.36697e-05
142 205.415291 131.979811 0.988428 32.720841 1.26567e-05
143 64.093043 14.276148 0.269866 12.557129 1.38814e-05
144 304.400235 14.220654 1.222970 2.674740 1.20987e-05
145 74.591607 32.457732 0.334107 23.515746 1.3807e-05
146 379.093519 122.691367 1.572956 17.933866 1.11605e-05
147 335.998352 50.375147 1.355700 8.526662 1.17571e-05
148 315.114397 86.542839 1.306800 15.357043 1.18846e-05
149 289.282506 168.016959 1.336066 30.148269 1.18089e-05
150 179.151674 86.753004 0.810145 25.838277 1.30329e-05
151 304.793679 122.762354 1.313624 21.938195 1.18661e-05
152 241.680856 68.556661 1.016053 15.836841 1.25944e-05
153 241.478021 14.249001 0.979557 3.376962 1.26754e-05
154 299.163706 41.300066 1.212527 7.860099 1.21247e-05
155 278.449012 95.574586 1.183374 18.944224 1.21975e-05
156 100.633241 23.318847 0.423789 13.046387 1.36886e-05
157 288.820661 77.462207 1.201144 15.013500 1.21545e-05
158 184.465287 113.914316 0.880643 31.696904 1.28898e-05
159 320.306873 77.490545 1.317249 13.600027 1.18575e-05
160 278.196439 41.326823 1.132756 8.449647 1.23216e-05
