TILEID,NIGHT,FIBER,IMAGING_FLUX_R,IMAGING_FIBERFLUX_R,SPECTRO_FLUX_R,SPECTRO_FIBERFLUX_R
1750,20210514,3747,3.303333044052124,2.5716137886047363,3.3236221896661715,2.622337907646609
1750,20210514,3749,0.7094453573226929,0.5162783861160278,1.5899499871303604,1.2496730497862716
1750,20210514,3751,0.5903719067573547,0.3335878849029541,0.4232060122878636,0.3102276547359069
1750,20210514,3752,0.44559934735298157,0.3471289873123169,0.409682783687828,0.3232397163296962
1750,20210514,3753,0.8707016110420227,0.6780219674110413,0.9924148375528404,0.783015306829191
1750,20210514,3755,1.384719967842102,0.7176567316055298,0.8794608445665214,0.6419649645448803
1750,20210514,3756,6.164941787719727,4.793540000915527,8.403526236843968,6.630382200869889
1750,20210514,3758,1.3654011487960815,0.7873930931091309,1.1397168349657492,0.8714780918925841
1750,20210514,3759,17.276063919067383,6.333408355712891,8.04880277611267,5.772571583370691
1750,20210514,3761,0.47472143173217773,0.257752001285553,0.4871875346028714,0.367787468533866
1750,20210514,3762,0.9315763115882874,0.7257301211357117,1.051903045933764,0.8299515032417395
1750,20210514,3764,0.5920929908752441,0.3677157163619995,0.47546202946179156,0.36112139991882225
1750,20210514,3765,3.262667417526245,0.0,3.671725971150461,2.9158147982802336
1750,20210514,3767,0.9947788119316101,0.6371941566467285,0.8320365137877876,0.6417633651289775
1750,20210514,3768,0.6276139616966248,0.4886087477207184,0.7378232239546096,0.5821425237001869
1750,20210514,3770,2.3807969093322754,1.1292325258255005,1.6586554784906966,1.2201096751596214
1750,20210514,3771,1.7238743305206299,1.342498540878296,1.947147723603535,1.5362995539231887
1750,20210514,3772,1.8437178134918213,0.9072632193565369,1.2884964906791971,0.952954928206809
1750,20210514,3774,0.33105525374412537,0.25779643654823303,0.33767282573219626,0.2664238595027028
1750,20210514,3775,1.4845322370529175,1.1566063165664673,1.9463456739636507,1.53566673675732
1750,20210514,3779,0.522229015827179,0.406700074672699,0.41076867917004767,0.32409648786516754
1750,20210514,3780,0.7986506819725037,0.36590006947517395,0.4717438871262586,0.3500152428368837
1750,20210514,3783,3.527292490005493,1.0337724685668945,1.3543493639046333,0.9557754898330777
1750,20210514,3784,1.191931962966919,0.4706409275531769,0.6752914062052049,0.48590288910336493
1750,20210514,3785,28.495187759399414,21.202251434326172,30.5735788254403,24.12255369327239
1750,20210514,3786,2.8588109016418457,1.7719247341156006,2.520119152660655,1.9297571884490978
1750,20210514,3787,10.629570007324219,2.5108766555786133,3.298057234467623,2.312457976143726
1750,20210514,3791,13.752852439880371,3.999396800994873,5.37704561389282,3.8217450342452697
1750,20210514,3792,0.4613187909126282,0.32781705260276794,0.44941739697132893,0.3509719193136533
1750,20210514,3793,0.43650996685028076,0.27103033661842346,0.47422833681111415,0.36275019789007823
1750,20210514,3794,9.94823932647705,2.868774652481079,3.6623302258712824,2.55962912709811
1750,20210514,3795,0.37892547249794006,0.230802983045578,0.6575914386880909,0.5002386423405332
1750,20210514,3796,0.36446139216423035,0.25217771530151367,0.2566149996265758,0.19968034599609108
1750,20210514,3797,54.64518356323242,42.41850280761719,58.5576215173926,46.20196337722275
1750,20210514,3798,0.6319584846496582,0.35790809988975525,0.48586444662661415,0.3690997057499665
1750,20210514,3799,1.7066079378128052,1.32697331905365,1.980298707007618,1.5624556798290101
1750,20210514,3800,0.9171687364578247,0.7122752070426941,0.9306724062230354,0.7343005285099747
1750,20210514,3802,0.3373374938964844,0.26280686259269714,0.34114422970169983,0.2691627972346411
1750,20210514,3805,0.6063683032989502,0.0,0.500229192787502,0.3968714193475305
1750,20210514,3806,2.9996185302734375,1.0325324535369873,1.2844063277839775,0.963136877293927
1750,20210514,3807,3.4453041553497314,1.341976523399353,1.6335624487215583,1.2186994974689631
1750,20210514,3808,11.903425216674805,3.5892531871795654,4.548863947842367,3.3567978096995037
1750,20210514,3809,0.3419342339038849,0.2662714123725891,0.38366062006230517,0.3027082292291587
1750,20210514,3811,2.4176411628723145,1.8824875354766846,2.2034089464650304,1.7384896587609087
1750,20210514,3812,12.517271041870117,2.8730545043945312,3.7045041338215676,2.510607210339788
1750,20210514,3813,0.8758485913276672,0.681812047958374,0.9960702163856687,0.7858994007282925
1750,20210514,3814,2.483025550842285,1.9338423013687134,1.8259832668396743,1.4407007975365027
1750,20210514,3816,0.9298744201660156,0.6297122836112976,0.7477300066765183,0.5815583028790698
1750,20210514,3817,0.302866667509079,0.23595309257507324,0.2475048643694095,0.19528133798746405
1750,20210514,3819,1.5057226419448853,0.5086563229560852,0.6098496282862226,0.4473331366281111
1750,20210514,3820,0.6924945116043091,0.5395384430885315,0.8139175811627862,0.6421809715374381
1750,20210514,3821,0.4218935966491699,0.2724037170410156,0.3114717906466554,0.24240259205677853
1750,20210514,3822,0.5818233489990234,0.45229241251945496,0.6833436886376711,0.5391581703351224
1750,20210514,3823,0.7464288473129272,0.4877062737941742,0.6474779671083869,0.5003656470248476
1750,20210514,3824,0.747953474521637,0.4060221314430237,0.5663724663365631,0.43586209118015606
1750,20210514,3825,4.59786319732666,3.5739219188690186,6.181342064751376,4.877078889088835
1750,20210514,3826,1.0967024564743042,0.0,1.4859983138456714,1.1799782073235994
1750,20210514,3831,0.5960807204246521,0.4642237424850464,0.6118715534538088,0.4827666556750551
1750,20210514,3832,7.561087608337402,5.887927055358887,4.466573984317414,3.5241268736264386
1750,20210514,3834,3.5937745571136475,2.79606294631958,3.083126192150047,2.4325865656063863
1750,20210514,3835,1.0246093273162842,0.4679662585258484,0.637029124156294,0.46673061531849774
1750,20210514,3836,9.468381881713867,2.9483587741851807,3.777497360005424,2.6633443050860595
1750,20210514,3838,0.5103472471237183,0.25692886114120483,0.41569449433268696,0.3183218754727351
1750,20210514,3841,1.927696943283081,0.9046675562858582,1.1645508360082393,0.8854859275802982
1750,20210514,3842,0.6915541291236877,0.5376408696174622,0.6447123607186439,0.5086780526070099
1750,20210514,3843,1.3577461242675781,1.0573598146438599,2.0873826811001526,1.64694493538802
1750,20210514,3846,1.7741453647613525,0.5433439016342163,0.7729566339917028,0.5623872552351902
1750,20210514,3848,2.4138686656951904,1.2113450765609741,1.686595960980361,1.250790747430047
1750,20210514,3849,1.8264614343643188,1.243187427520752,1.513747537998833,1.1839999765531402
