expid,mjd,fiber,wavelength,emission_line_coeff,continuum_coeff,x,y,xsig,ysig
55166,58922.05925228,10,7473.084067924808,-0.0027220397183244094,-0.00039503842199029027,222.4492583610766,194.658190366398,1.0533919996762957,1.1396219541238495
55167,58922.06024624,10,7473.084067924808,-0.0027003204239590683,0.00014271245202657212,222.44255633470675,194.66553849704428,1.0543822345489837,1.1393337095128349
55168,58922.06106903,10,7473.084067924808,-0.0033521657091721835,-0.0008571167280573277,222.40623690797042,194.64758827973128,1.0519727511148094,1.1385677468118733
55169,58922.06189993,10,7473.084067924808,-0.0029932836575992106,7.739905675219205e-05,222.37579606998142,194.50460378096182,1.0560709156159451,1.1493932607183683
55170,58922.06272496,10,7473.084067924808,-0.003456615912343808,-0.0010881066592017818,222.337109070739,194.53605311814067,1.0557703833173298,1.149012000489939
55207,58922.12006059,10,7473.084067924808,-0.0041481605557383006,-0.0013207471979471697,222.46702126519972,194.6626762645392,1.0515033225632522,1.1380812596028895
55208,58922.1208968,10,7473.084067924808,-0.003693013876836848,-0.000791101907020697,222.42735775458834,194.6731258002187,1.0520328315398788,1.1389533047079385
55209,58922.1217188,10,7473.084067924808,-0.0034665914381931673,-0.0011025220273965797,222.4424395983615,194.6521186512789,1.051100242649505,1.13859088815027
55210,58922.12272273,10,7473.084067924808,-0.0006098748712844992,-0.00011802458846088548,222.3809830311127,194.56052764371452,1.0552602519822711,1.1500378759131833
55211,58922.12354326,10,7473.084067924808,-0.003808135494854592,-0.0016986633576627774,222.3351824627142,194.53457238919805,1.0544218442077393,1.1494550998279314
55248,58922.1764036,10,7473.084067924808,-0.0037675053294170535,-0.0013763517069064202,222.46946948139583,194.63124677754126,1.0517531006684149,1.1377135747992801
55249,58922.17722244,10,7473.084067924808,-0.0034048799177673894,-0.001155220970694537,222.44396862414519,194.6415970386861,1.0517036363729593,1.139241226203558
55250,58922.17805521,10,7473.084067924808,-0.004790334015397524,-0.0010773170862303783,222.45004383472985,194.6928422166161,1.0519988517737562,1.1383446891289797
55251,58922.17887169,10,7473.084067924808,-0.000977081282038772,0.0002821618699309081,222.40189300119715,194.5808391376297,1.0553057516099522,1.1474443711211466
55252,58922.17988163,10,7473.084067924808,-0.003921480669912603,-1.6979686768947566e-05,222.38323651214188,194.4933051468097,1.0551485842333201,1.146414872660739
55289,58922.22469083,10,7473.084067924808,-0.003886933801576453,-0.002057676224335947,222.4879066039095,194.6340395191446,1.0511547237983816,1.1389924771526245
