expid,mjd,fiber,wavelength,emission_line_coeff,continuum_coeff,x,y,xsig,ysig
55166,58922.05925228,10,3620.379598358972,-0.0022611612033208717,-0.0018203138204584413,211.83603284249835,144.7347243214581,1.0381041638055961,1.1409114764982209
55167,58922.06024624,10,3620.379598358972,-0.0025381700368487525,-0.002850268214865781,211.87479701246247,144.72904760647316,1.037063600480821,1.1415275594699934
55168,58922.06106903,10,3620.379598358972,0.0034501462312677145,0.001923157144588572,211.83334227324434,144.7587914609246,1.04651105874788,1.1484524558450253
55169,58922.06189993,10,3620.379598358972,0.0033166493292728916,0.000925975792505529,211.81649326013465,144.69328541598543,1.0432544890448343,1.144112563141448
55170,58922.06272496,10,3620.379598358972,0.0015965469121250742,0.0015255211241056443,211.80805017799355,144.75164652696935,1.045050329940646,1.1373006699003516
55207,58922.12006059,10,3620.379598358972,-0.008793789268582874,-0.005414285668015828,211.84816325340225,144.76484532396603,1.0243009156369718,1.1286172448654794
55208,58922.1208968,10,3620.379598358972,-0.004585417606280839,-0.0037097300805142286,211.88008662273825,144.7204234189137,1.0362597503498343,1.1382634859051097
55209,58922.1217188,10,3620.379598358972,-0.006743987116863526,-0.003046697070844373,211.86785494974762,144.74061444188123,1.0337656741107517,1.1293928183560262
55210,58922.12272273,10,3620.379598358972,-0.001614114881021922,-0.0007086671070023476,211.86078258852143,144.73062584537206,1.0415599450723934,1.1406753546843784
55211,58922.12354326,10,3620.379598358972,-0.003003304813455565,-0.0034950612969867345,211.88865460966142,144.7266011828292,1.0385475622878135,1.1422844530682257
55248,58922.1764036,10,3620.379598358972,-0.009256824063946234,-0.004284278040920353,211.84145008016714,144.72477991712503,1.027032655117581,1.1202235726063463
55249,58922.17722244,10,3620.379598358972,-0.007146831076247584,-0.004345339585160257,211.86136609159365,144.68530221611627,1.0302480410412276,1.1275190346599029
55250,58922.17805521,10,3620.379598358972,-0.0014068710258614558,-0.002037349094028862,211.86784967572598,144.7092589108397,1.0381288208104857,1.147026522564149
55251,58922.17887169,10,3620.379598358972,0.0019077704116274852,-0.0010249399390754865,211.83104231151356,144.71337595812702,1.0362483560121258,1.1416779813673266
55252,58922.17988163,10,3620.379598358972,-0.0012418843361471366,-0.002958065532638332,211.87339669169273,144.71024134461754,1.036019445604964,1.138617626550035
55289,58922.22469083,10,3620.379598358972,-0.006697502286765689,-0.006167102269220792,211.87401704226167,144.70868092289493,1.0269905385407536,1.1332477790676931
55290,58922.22551521,10,3620.379598358972,-0.0027188875015830005,-0.0016250784152079811,211.85049085289435,144.7492960991965,1.0352822881928863,1.1344462252604972
55291,58922.22645958,10,3620.379598358972,-0.0029084312290995618,-0.0021718697211345894,211.8765136701253,144.74147929669516,1.0404293051079594,1.1399880808129221
55292,58922.22727953,10,3620.379598358972,-0.0007648505622134261,-0.002128049665835241,211.86224870014968,144.66654981546435,1.0383492144685094,1.1414239034453753
55293,58922.22810238,10,3620.379598358972,-0.001956500185667953,-0.0030373437176910434,211.8672198272357,144.70559647591767,1.0383175299638732,1.1403681711747153
55492,58923.56230229,10,3620.379598358972,-0.005739064207170297,-0.005026954572281417,211.75078155554485,144.74012437103943,1.0240578812290646,1.135216701374279
55493,58923.5631267,10,3620.379598358972,-0.005821772511314771,-0.0025760357421613644,211.78537465661697,144.724592152701,1.033400118672843,1.125679725824073
55494,58923.56395585,10,3620.379598358972,-0.004140338490927209,-0.0029013389394855205,211.74983523369932,144.69734708089663,1.0352539081553138,1.1307620839671733
55495,58923.5649465,10,3620.379598358972,-0.002459138213230516,-0.0027072383775401665,211.74892375225153,144.7304272409599,1.0333668274112686,1.1309580895549967
55496,58923.56577204,10,3620.379598358972,-0.00115384296784804,-0.0022848034596156808,211.761555308757,144.72807149403025,1.0335654724214465,1.1361217375426522
55519,58923.58502585,10,3620.379598358972,-0.006887328385319247,-0.00593539492348194,211.76433220001556,144.70063462992084,1.0232389723026198,1.1333036647082055
55520,58923.58588517,10,3620.379598358972,-0.005461286589347969,-0.0036743145809473576,211.7355856416023,144.70558492578857,1.0281142814415125,1.1297291295469158
55521,58923.58670971,10,3620.379598358972,-0.0030766580471358607,-0.003350718094379923,211.7596889184401,144.72013697433658,1.0321198057664716,1.136870496298583
55522,58923.58755218,10,3620.379598358972,-0.001705302083375826,-0.0019174235384644689,211.81166474822726,144.69854594406866,1.0364988787384337,1.1387504139826234
55523,58923.58837298,10,3620.379598358972,-0.002900500301550868,-0.003139246862559064,211.73347805911422,144.71335054067777,1.0331198632917862,1.13390894863117
55705,58924.54365178,10,3620.379598358972,-0.010768409045600058,-0.007984326011482579,211.6661932397999,144.7316408209415,1.0275240277994009,1.1246577715484927
55706,58924.54449413,10,3620.379598358972,-0.00693415146183729,-0.00524034783380789,211.63184303700535,144.72387882915996,1.040031052370812,1.134640021150458
55707,58924.54532435,10,3620.379598358972,-0.011494693677432832,-0.009974358017088125,211.59119429416165,144.69984959971453,1.037905451313903,1.1294311884677661
55708,58924.54625975,10,3620.379598358972,-0.009611392151401832,-0.011279511034735124,211.6078858291331,144.71667677181108,1.0297866262235629,1.1374939384381466
55709,58924.54708252,10,3620.379598358972,-0.005859571316884193,-0.007113240334060911,211.61049840719807,144.72307606120216,1.0410874316273107,1.1375908352211759
55166,58922.05925228,10,3739.857198340004,-0.0019267678717239667,-0.002483795632202246,211.80797743103793,337.0407781173826,1.0683796761489903,1.1415040687543903
55167,58922.06024624,10,3739.857198340004,-0.0010298166590931856,-0.0015701300190746892,211.7654537319891,337.09447983225186,1.0662664647016153,1.140978630595057
