expid,mjd,fiber,wavelength,emission_line_coeff,continuum_coeff,x,y,xsig,ysig
55166,58922.05925228,10,5684.159000538394,-0.00683718250700216,-0.0033586354665843254,219.00666636494856,186.39493883065234,1.053913598269098,1.0519306104406818
55167,58922.06024624,10,5684.159000538394,-0.0034224452310628317,-0.0015025630184516414,219.0022784924552,186.4327072029098,1.0579265186670719,1.053910041106392
55168,58922.06106903,10,5684.159000538394,-0.002829159775907808,-8.368888110732442e-06,218.92919422959383,186.3562517952489,1.0591447760727206,1.0624925133999676
55169,58922.06189993,10,5684.159000538394,-0.003189813716777179,-0.005456631853084315,219.07254597864002,186.46081957087972,1.0535547505830412,1.0628275723942697
55170,58922.06272496,10,5684.159000538394,-0.0019456736005599717,-0.0008095337655669166,218.91311682157567,186.36646313798406,1.057678645089318,1.059623653400704
55207,58922.12006059,10,5684.159000538394,-0.006556296157701147,-0.004554313491721751,219.06192901934918,186.43304704846196,1.055378800826273,1.0504871803151252
55208,58922.1208968,10,5684.159000538394,-0.005067823857649367,-0.0017031539720979705,218.9822025035936,186.44642606239927,1.054428425386518,1.053716224517455
55209,58922.1217188,10,5684.159000538394,-0.013501802386128303,-0.007232301798864027,219.10784893860705,186.5901305630557,1.0557863598635266,1.0547854567420978
55210,58922.12272273,10,5684.159000538394,-0.0004626181295290799,-0.0011523837401248294,219.0095923801285,186.47029208690446,1.0623299385125922,1.0603588500601269
55211,58922.12354326,10,5684.159000538394,-0.005615004835967219,-0.0018991690428369346,218.90645795671114,186.36474296676738,1.0553300284084213,1.0523911220633284
55248,58922.1764036,10,5684.159000538394,-0.009281263441846876,-0.0025331073835906937,218.8366478869882,186.33093291577848,1.056844659711406,1.0557103715993899
55249,58922.17722244,10,5684.159000538394,-0.0055951077816122075,-0.0015057001865035335,218.9563596727403,186.37504808141034,1.0553018573706334,1.0482384354207097
55250,58922.17805521,10,5684.159000538394,-0.004575702194043685,-0.002423446066578072,218.998427528005,186.42075967784513,1.0541361704600463,1.055757641107724
55251,58922.17887169,10,5684.159000538394,-0.0019113760387374779,-0.005169198625582849,218.77377810258895,186.47921510850574,1.060601107454518,1.0715335890663533
55252,58922.17988163,10,5684.159000538394,-0.0068522925735929885,-0.004722841777833775,219.0647641835055,186.57140841169803,1.0533193775103644,1.0611061314278707
55289,58922.22469083,10,5684.159000538394,-0.006086529188478407,-0.0016837080627046808,218.91210827973666,186.48399707886392,1.0549181532338678,1.0550915738745403
55290,58922.22551521,10,5684.159000538394,-0.00595753329921378,-0.0022519435607119,218.8568316406495,186.47785176863613,1.0554697981197532,1.0484841628044723
55291,58922.22645958,10,5684.159000538394,-0.004076073925837087,-0.003098741133066185,219.0189252861454,186.48722881012282,1.056029682818343,1.0575632532023118
55292,58922.22727953,10,5684.159000538394,-0.0017474310822879202,-0.0015750630499297147,218.88689881979218,186.42370187179017,1.0549089506361589,1.060764609174906
55293,58922.22810238,10,5684.159000538394,-0.0003887356783639495,-0.0012302165648054864,218.94202104402783,186.49236288542556,1.0562426256186517,1.0609859987587946
55492,58923.56230229,10,5684.159000538394,-0.010806399341624862,-0.007745349747678154,219.09117925845908,186.44555337911925,1.0506347059068697,1.0472108792595434
55493,58923.5631267,10,5684.159000538394,-0.00473339028056341,-0.0029508704900950145,218.9017519696394,186.4837176968515,1.0527232480750248,1.0539785581903918
55494,58923.56395585,10,5684.159000538394,-0.001528636315104026,-0.0012425142877755535,218.94649294663571,186.42939742322005,1.0527083286603436,1.0618088555302894
55495,58923.5649465,10,5684.159000538394,-0.01126508552436889,-0.006043972196303371,219.03696018092677,186.29058101936403,1.0495394696547131,1.0537590077811054
55496,58923.56577204,10,5684.159000538394,-0.006850736956220405,-0.003686680504024875,218.83271919266383,186.34553688356482,1.0552013354469092,1.0580286990260295
55519,58923.58502585,10,5684.159000538394,-0.004400558347057881,-0.0021662373889623776,218.86709665431098,186.44039981296146,1.0583309803888843,1.0541571257253408
55520,58923.58588517,10,5684.159000538394,-0.006709606672012813,-0.0012260496406307775,218.97772375296674,186.37645738381661,1.0560937982270768,1.049630867406311
55521,58923.58670971,10,5684.159000538394,-0.004008044642606512,-0.002599067672524269,218.9757020148591,186.51581911903327,1.0537253350902587,1.0595941951139376
55522,58923.58755218,10,5684.159000538394,-0.004108730967371632,-0.003524390258425547,218.94081770131788,186.50317123363857,1.0531544856645174,1.0570938514997987
55523,58923.58837298,10,5684.159000538394,-0.004128840294947533,-0.003783131218904723,218.83898602871238,186.49475755662252,1.0539332643884873,1.0573124495087154
55705,58924.54365178,10,5684.159000538394,-0.00818425435632364,-0.005170605092512992,218.8559291692799,186.4362369891967,1.04975284425428,1.0495472370578312
55706,58924.54449413,10,5684.159000538394,-0.009497318246293518,-0.008179260487349294,218.78312906466343,186.4269392548474,1.0524667248776634,1.0583486324326394
55707,58924.54532435,10,5684.159000538394,-0.003652619587234618,-0.002485523898613118,218.8610793715809,186.49574978269447,1.0578626348912699,1.0621515416734777
55708,58924.54625975,10,5684.159000538394,-0.005753076663629009,-0.0038567720003392925,218.8211418110772,186.5763590940942,1.0551104851415705,1.0619321082568238
55709,58924.54708252,10,5684.159000538394,0.002919267364982936,0.0006530518093030846,218.92475398570414,186.4830775284895,1.0606627068073942,1.0674023401195782
55166,58922.05925228,10,5790.710972415904,-0.0025809811546155803,-0.001436546737703659,218.60614914571534,373.78440949804485,1.0713148982621445,1.078958418533564
55167,58922.06024624,10,5790.710972415904,-0.00065267370633737,-0.00011205278957970854,218.60853417802215,373.80791844171586,1.0743566857011404,1.0798634320534437
