X,Y,R
-401.63265306122446,-401.63265306122446,0.0
-401.63265306122446,-384.8979591836735,0.0
-401.63265306122446,-368.1632653061224,0.0
-401.63265306122446,-351.42857142857144,0.0
-401.63265306122446,-334.69387755102036,0.0
-401.63265306122446,-317.9591836734694,0.0
-401.63265306122446,-301.2244897959184,0.0
-401.63265306122446,-284.48979591836735,0.0
-401.63265306122446,-267.7551020408163,0.0
-401.63265306122446,-251.0204081632653,0.0
-401.63265306122446,-234.28571428571428,0.0
-401.63265306122446,-217.55102040816325,0.0
-401.63265306122446,-200.81632653061226,0.0
-401.63265306122446,-184.08163265306123,0.0
-401.63265306122446,-167.3469387755102,0.0
-401.63265306122446,-150.6122448979592,0.0
-401.63265306122446,-133.87755102040816,0.0
-401.63265306122446,-117.14285714285714,0.0
-401.63265306122446,-100.40816326530611,0.960841094220148
-401.63265306122446,-83.67346938775509,0.9758411873136366
-401.63265306122446,-66.93877551020407,1.0150830888883373
-401.63265306122446,-50.20408163265304,1.0412584454921452
-401.63265306122446,-33.46938775510202,1.0557646087922614
-401.63265306122446,-16.734693877551024,1.0353431797811192
-401.63265306122446,-2.842170943040401e-14,1.0530149261171766
-401.63265306122446,16.734693877550995,0.0
-401.63265306122446,33.46938775510202,0.0
-401.63265306122446,50.20408163265304,0.0
-401.63265306122446,66.93877551020407,1.043170023316704
-401.63265306122446,83.67346938775509,0.0
-401.63265306122446,100.40816326530614,0.0
-401.63265306122446,117.14285714285717,0.0
-401.63265306122446,133.87755102040813,0.0
-401.63265306122446,150.61224489795916,0.0
-401.63265306122446,167.34693877551018,0.0
-401.63265306122446,184.0816326530612,0.0
-401.63265306122446,200.81632653061223,0.0
-401.63265306122446,217.55102040816325,0.0
-401.63265306122446,234.28571428571428,0.0
-401.63265306122446,251.0204081632653,0.0
-401.63265306122446,267.7551020408163,0.0
-401.63265306122446,284.48979591836735,0.0
-401.63265306122446,301.2244897959184,0.0
-401.63265306122446,317.9591836734694,0.0
-401.63265306122446,334.6938775510204,0.0
-401.63265306122446,351.42857142857144,0.0
-401.63265306122446,368.16326530612247,0.0
-401.63265306122446,384.89795918367344,0.0
-401.63265306122446,401.63265306122446,0.0
-384.8979591836735,-401.63265306122446,0.0
-384.8979591836735,-384.8979591836735,0.0
-384.8979591836735,-368.1632653061224,0.0
-384.8979591836735,-351.42857142857144,0.0
-384.8979591836735,-334.69387755102036,0.0
-384.8979591836735,-317.9591836734694,0.0
-384.8979591836735,-301.2244897959184,0.0
-384.8979591836735,-284.48979591836735,0.0
-384.8979591836735,-267.7551020408163,0.0
-384.8979591836735,-251.0204081632653,0.0
-384.8979591836735,-234.28571428571428,0.0
-384.8979591836735,-217.55102040816325,0.0
-384.8979591836735,-200.81632653061226,0.0
-384.8979591836735,-184.08163265306123,0.0
-384.8979591836735,-167.3469387755102,0.0
-384.8979591836735,-150.6122448979592,1.0501769746342389
-384.8979591836735,-133.87755102040816,1.0021833163746672
-384.8979591836735,-117.14285714285714,1.0229414064035869
-384.8979591836735,-100.40816326530611,1.009404406995641
-384.8979591836735,-83.67346938775509,1.0281422572275687
-384.8979591836735,-66.93877551020407,1.0221499693320033
-384.8979591836735,-50.20408163265304,1.025015078301441
-384.8979591836735,-33.46938775510202,1.00852663872199
-384.8979591836735,-16.734693877551024,1.00658328997273
-384.8979591836735,-2.842170943040401e-14,1.0455431474552
-384.8979591836735,16.734693877550995,0.0
-384.8979591836735,33.46938775510202,0.0
-384.8979591836735,50.20408163265304,1.0435850341690007
-384.8979591836735,66.93877551020407,1.0237366583757348
-384.8979591836735,83.67346938775509,1.0277305324638542
-384.8979591836735,100.40816326530614,0.9858222633577317
-384.8979591836735,117.14285714285717,0.9905530705249906
-384.8979591836735,133.87755102040813,0.9974538346683233
-384.8979591836735,150.61224489795916,0.9294372883637122
-384.8979591836735,167.34693877551018,0.0
-384.8979591836735,184.0816326530612,0.0
-384.8979591836735,200.81632653061223,0.0
-384.8979591836735,217.55102040816325,0.0
-384.8979591836735,234.28571428571428,0.0
-384.8979591836735,251.0204081632653,0.0
-384.8979591836735,267.7551020408163,0.0
-384.8979591836735,284.48979591836735,0.0
-384.8979591836735,301.2244897959184,0.0
-384.8979591836735,317.9591836734694,0.0
-384.8979591836735,334.6938775510204,0.0
-384.8979591836735,351.42857142857144,0.0
-384.8979591836735,368.16326530612247,0.0
-384.8979591836735,384.89795918367344,0.0
-384.8979591836735,401.63265306122446,0.0
-368.1632653061224,-401.63265306122446,0.0
-368.1632653061224,-384.8979591836735,0.0
-368.1632653061224,-368.1632653061224,0.0
-368.1632653061224,-351.42857142857144,0.0
-368.1632653061224,-334.69387755102036,0.0
-368.1632653061224,-317.9591836734694,0.0
-368.1632653061224,-301.2244897959184,0.0
-368.1632653061224,-284.48979591836735,0.0
-368.1632653061224,-267.7551020408163,0.0
-368.1632653061224,-251.0204081632653,0.0
-368.1632653061224,-234.28571428571428,0.0
-368.1632653061224,-217.55102040816325,0.0
-368.1632653061224,-200.81632653061226,0.0
-368.1632653061224,-184.08163265306123,0.0
-368.1632653061224,-167.3469387755102,0.9684696482928022
-368.1632653061224,-150.6122448979592,0.9931457945249949
-368.1632653061224,-133.87755102040816,1.0164852629432504
-368.1632653061224,-117.14285714285714,1.0257768944510646
-368.1632653061224,-100.40816326530611,1.0281445229491655
-368.1632653061224,-83.67346938775509,1.016727574227533
-368.1632653061224,-66.93877551020407,0.996701568536879
-368.1632653061224,-50.20408163265304,1.0295117619180394
-368.1632653061224,-33.46938775510202,1.0249667090987171
-368.1632653061224,-16.734693877551024,1.0099964229812513
-368.1632653061224,-2.842170943040401e-14,1.0214486706080246
-368.1632653061224,16.734693877550995,1.0415531375633502
-368.1632653061224,33.46938775510202,0.0
-368.1632653061224,50.20408163265304,1.0018520080996356
-368.1632653061224,66.93877551020407,1.0148084870455618
-368.1632653061224,83.67346938775509,1.0177512843035372
-368.1632653061224,100.40816326530614,0.9991024132464701
-368.1632653061224,117.14285714285717,0.9668848997738084
-368.1632653061224,133.87755102040813,0.9652651710606507
-368.1632653061224,150.61224489795916,0.9812970134521172
-368.1632653061224,167.34693877551018,0.9405480346218608
-368.1632653061224,184.0816326530612,0.9396546355718866
-368.1632653061224,200.81632653061223,0.0
-368.1632653061224,217.55102040816325,0.0
-368.1632653061224,234.28571428571428,0.0
-368.1632653061224,251.0204081632653,0.0
-368.1632653061224,267.7551020408163,0.0
-368.1632653061224,284.48979591836735,0.0
-368.1632653061224,301.2244897959184,0.0
-368.1632653061224,317.9591836734694,0.0
-368.1632653061224,334.6938775510204,0.0
-368.1632653061224,351.42857142857144,0.0
-368.1632653061224,368.16326530612247,0.0
-368.1632653061224,384.89795918367344,0.0
-368.1632653061224,401.63265306122446,0.0
-351.42857142857144,-401.63265306122446,0.0
-351.42857142857144,-384.8979591836735,0.0
-351.42857142857144,-368.1632653061224,0.0
-351.42857142857144,-351.42857142857144,0.0
-351.42857142857144,-334.69387755102036,0.0
-351.42857142857144,-317.9591836734694,0.0
-351.42857142857144,-301.2244897959184,0.0
-351.42857142857144,-284.48979591836735,0.0
-351.42857142857144,-267.7551020408163,0.0
-351.42857142857144,-251.0204081632653,0.0
-351.42857142857144,-234.28571428571428,0.0
-351.42857142857144,-217.55102040816325,0.0
-351.42857142857144,-200.81632653061226,1.0128373237545996
-351.42857142857144,-184.08163265306123,0.9590517078504393
-351.42857142857144,-167.3469387755102,0.9888015944607118
-351.42857142857144,-150.6122448979592,0.9944676300748946
-351.42857142857144,-133.87755102040816,0.9805824368921486
-351.42857142857144,-117.14285714285714,1.0014503467458284
-351.42857142857144,-100.40816326530611,0.9908322472855726
-351.42857142857144,-83.67346938775509,1.0011361318862602
-351.42857142857144,-66.93877551020407,1.0048011577346512
-351.42857142857144,-50.20408163265304,1.02925477556043
-351.42857142857144,-33.46938775510202,1.019911497730915
-351.42857142857144,-16.734693877551024,1.0482934002429458
-351.42857142857144,-2.842170943040401e-14,1.0131478352509349
-351.42857142857144,16.734693877550995,1.055689953769027
-351.42857142857144,33.46938775510202,1.051776115789181
-351.42857142857144,50.20408163265304,1.0459603809276
-351.42857142857144,66.93877551020407,1.024818322351416
-351.42857142857144,83.67346938775509,1.0304182012806402
-351.42857142857144,100.40816326530614,1.0348040152551963
-351.42857142857144,117.14285714285717,0.9900259921487895
-351.42857142857144,133.87755102040813,1.0007934156124294
