X,Y,R
-401.63265306122446,-401.63265306122446,0.0
-401.63265306122446,-384.8979591836735,0.0
-401.63265306122446,-368.1632653061224,0.0
-401.63265306122446,-351.42857142857144,0.0
-401.63265306122446,-334.69387755102036,0.0
-401.63265306122446,-317.9591836734694,0.0
-401.63265306122446,-301.2244897959184,0.0
-401.63265306122446,-284.48979591836735,0.0
-401.63265306122446,-267.7551020408163,0.0
-401.63265306122446,-251.0204081632653,0.0
-401.63265306122446,-234.28571428571428,0.0
-401.63265306122446,-217.55102040816325,0.0
-401.63265306122446,-200.81632653061226,0.0
-401.63265306122446,-184.08163265306123,0.0
-401.63265306122446,-167.3469387755102,0.0
-401.63265306122446,-150.6122448979592,0.0
-401.63265306122446,-133.87755102040816,0.0
-401.63265306122446,-117.14285714285714,0.0
-401.63265306122446,-100.40816326530611,1.0593636884672588
-401.63265306122446,-83.67346938775509,1.0112879721678345
-401.63265306122446,-66.93877551020407,0.9707568507443607
-401.63265306122446,-50.20408163265304,1.0627832527985313
-401.63265306122446,-33.46938775510202,1.0654924918160904
-401.63265306122446,-16.734693877551024,1.0678162473611033
-401.63265306122446,-2.842170943040401e-14,1.0486668753741273
-401.63265306122446,16.734693877550995,0.0
-401.63265306122446,33.46938775510202,0.0
-401.63265306122446,50.20408163265304,0.0
-401.63265306122446,66.93877551020407,1.0162955464274686
-401.63265306122446,83.67346938775509,0.0
-401.63265306122446,100.40816326530614,0.0
-401.63265306122446,117.14285714285717,0.0
-401.63265306122446,133.87755102040813,0.0
-401.63265306122446,150.61224489795916,0.0
-401.63265306122446,167.34693877551018,0.0
-401.63265306122446,184.0816326530612,0.0
-401.63265306122446,200.81632653061223,0.0
-401.63265306122446,217.55102040816325,0.0
-401.63265306122446,234.28571428571428,0.0
-401.63265306122446,251.0204081632653,0.0
-401.63265306122446,267.7551020408163,0.0
-401.63265306122446,284.48979591836735,0.0
-401.63265306122446,301.2244897959184,0.0
-401.63265306122446,317.9591836734694,0.0
-401.63265306122446,334.6938775510204,0.0
-401.63265306122446,351.42857142857144,0.0
-401.63265306122446,368.16326530612247,0.0
-401.63265306122446,384.89795918367344,0.0
-401.63265306122446,401.63265306122446,0.0
-384.8979591836735,-401.63265306122446,0.0
-384.8979591836735,-384.8979591836735,0.0
-384.8979591836735,-368.1632653061224,0.0
-384.8979591836735,-351.42857142857144,0.0
-384.8979591836735,-334.69387755102036,0.0
-384.8979591836735,-317.9591836734694,0.0
-384.8979591836735,-301.2244897959184,0.0
-384.8979591836735,-284.48979591836735,0.0
-384.8979591836735,-267.7551020408163,0.0
-384.8979591836735,-251.0204081632653,0.0
-384.8979591836735,-234.28571428571428,0.0
-384.8979591836735,-217.55102040816325,0.0
-384.8979591836735,-200.81632653061226,0.0
-384.8979591836735,-184.08163265306123,0.0
-384.8979591836735,-167.3469387755102,0.0
-384.8979591836735,-150.6122448979592,1.0079302837189417
-384.8979591836735,-133.87755102040816,0.9450051367159503
-384.8979591836735,-117.14285714285714,0.9989251491167261
-384.8979591836735,-100.40816326530611,1.0400483984338122
-384.8979591836735,-83.67346938775509,1.0936969387868745
-384.8979591836735,-66.93877551020407,1.0628575777100906
-384.8979591836735,-50.20408163265304,1.0903691634694967
-384.8979591836735,-33.46938775510202,1.0827276264667103
-384.8979591836735,-16.734693877551024,1.0735792299131204
-384.8979591836735,-2.842170943040401e-14,1.077198093084137
-384.8979591836735,16.734693877550995,0.0
-384.8979591836735,33.46938775510202,0.0
-384.8979591836735,50.20408163265304,1.0523888723516996
-384.8979591836735,66.93877551020407,1.0441906789290165
-384.8979591836735,83.67346938775509,1.0535206705095526
-384.8979591836735,100.40816326530614,1.0100457988358027
-384.8979591836735,117.14285714285717,0.9628111739099737
-384.8979591836735,133.87755102040813,0.9514779172689761
-384.8979591836735,150.61224489795916,0.8914174944889798
-384.8979591836735,167.34693877551018,0.0
-384.8979591836735,184.0816326530612,0.0
-384.8979591836735,200.81632653061223,0.0
-384.8979591836735,217.55102040816325,0.0
-384.8979591836735,234.28571428571428,0.0
-384.8979591836735,251.0204081632653,0.0
-384.8979591836735,267.7551020408163,0.0
-384.8979591836735,284.48979591836735,0.0
-384.8979591836735,301.2244897959184,0.0
-384.8979591836735,317.9591836734694,0.0
-384.8979591836735,334.6938775510204,0.0
-384.8979591836735,351.42857142857144,0.0
-384.8979591836735,368.16326530612247,0.0
-384.8979591836735,384.89795918367344,0.0
-384.8979591836735,401.63265306122446,0.0
-368.1632653061224,-401.63265306122446,0.0
-368.1632653061224,-384.8979591836735,0.0
-368.1632653061224,-368.1632653061224,0.0
-368.1632653061224,-351.42857142857144,0.0
-368.1632653061224,-334.69387755102036,0.0
-368.1632653061224,-317.9591836734694,0.0
-368.1632653061224,-301.2244897959184,0.0
-368.1632653061224,-284.48979591836735,0.0
-368.1632653061224,-267.7551020408163,0.0
-368.1632653061224,-251.0204081632653,0.0
-368.1632653061224,-234.28571428571428,0.0
-368.1632653061224,-217.55102040816325,0.0
-368.1632653061224,-200.81632653061226,0.0
-368.1632653061224,-184.08163265306123,0.0
-368.1632653061224,-167.3469387755102,1.004309566084293
-368.1632653061224,-150.6122448979592,1.032625176909138
-368.1632653061224,-133.87755102040816,1.0375154300511358
-368.1632653061224,-117.14285714285714,1.0674877212477647
-368.1632653061224,-100.40816326530611,1.0667363596034283
-368.1632653061224,-83.67346938775509,1.072296258336578
-368.1632653061224,-66.93877551020407,1.0682061635561455
-368.1632653061224,-50.20408163265304,1.0896849777467412
-368.1632653061224,-33.46938775510202,1.082432421090832
-368.1632653061224,-16.734693877551024,1.0561721530179087
-368.1632653061224,-2.842170943040401e-14,1.0837906722403416
-368.1632653061224,16.734693877550995,1.07015984458493
-368.1632653061224,33.46938775510202,0.0
-368.1632653061224,50.20408163265304,1.02896697884805
-368.1632653061224,66.93877551020407,1.0319039221997817
-368.1632653061224,83.67346938775509,1.0384867226501966
-368.1632653061224,100.40816326530614,1.004442196487755
-368.1632653061224,117.14285714285717,0.9459834986752039
-368.1632653061224,133.87755102040813,0.9999138997760205
-368.1632653061224,150.61224489795916,0.9366117804630919
-368.1632653061224,167.34693877551018,0.9071214268548076
-368.1632653061224,184.0816326530612,0.8953469352575585
-368.1632653061224,200.81632653061223,0.0
-368.1632653061224,217.55102040816325,0.0
-368.1632653061224,234.28571428571428,0.0
-368.1632653061224,251.0204081632653,0.0
-368.1632653061224,267.7551020408163,0.0
-368.1632653061224,284.48979591836735,0.0
-368.1632653061224,301.2244897959184,0.0
-368.1632653061224,317.9591836734694,0.0
-368.1632653061224,334.6938775510204,0.0
-368.1632653061224,351.42857142857144,0.0
-368.1632653061224,368.16326530612247,0.0
-368.1632653061224,384.89795918367344,0.0
-368.1632653061224,401.63265306122446,0.0
-351.42857142857144,-401.63265306122446,0.0
-351.42857142857144,-384.8979591836735,0.0
-351.42857142857144,-368.1632653061224,0.0
-351.42857142857144,-351.42857142857144,0.0
-351.42857142857144,-334.69387755102036,0.0
-351.42857142857144,-317.9591836734694,0.0
-351.42857142857144,-301.2244897959184,0.0
-351.42857142857144,-284.48979591836735,0.0
-351.42857142857144,-267.7551020408163,0.0
-351.42857142857144,-251.0204081632653,0.0
-351.42857142857144,-234.28571428571428,0.0
-351.42857142857144,-217.55102040816325,0.0
-351.42857142857144,-200.81632653061226,1.0132593329618973
-351.42857142857144,-184.08163265306123,0.9601364299291579
-351.42857142857144,-167.3469387755102,1.0448923013278666
-351.42857142857144,-150.6122448979592,1.0550126312393093
-351.42857142857144,-133.87755102040816,1.0789982567055956
-351.42857142857144,-117.14285714285714,1.05985731667647
-351.42857142857144,-100.40816326530611,1.0527303690635545
-351.42857142857144,-83.67346938775509,1.071211490780149
-351.42857142857144,-66.93877551020407,1.0603972707669247
-351.42857142857144,-50.20408163265304,1.0693944297116573
-351.42857142857144,-33.46938775510202,1.0215088659511546
-351.42857142857144,-16.734693877551024,1.0641373209177662
-351.42857142857144,-2.842170943040401e-14,1.0514660860324565
-351.42857142857144,16.734693877550995,1.049088944183759
-351.42857142857144,33.46938775510202,1.060904869351219
-351.42857142857144,50.20408163265304,1.0449051941443765
-351.42857142857144,66.93877551020407,1.0266815917613228
-351.42857142857144,83.67346938775509,1.0282988467652403
-351.42857142857144,100.40816326530614,1.0358766226598073
-351.42857142857144,117.14285714285717,1.000835944896927
-351.42857142857144,133.87755102040813,1.0248453561208097
