X,Y,FLUX,EXPID,TILEID
38.256065368652344,-238.98110961914062,238.1420017495912,121465,21491
67.66696166992188,-280.9283142089844,245.26606693953,121465,21491
39.85931396484375,-250.0067138671875,243.40179373951426,121465,21491
43.453330993652344,-268.3201599121094,239.7718120504199,121465,21491
10.873778343200684,-276.2093200683594,237.88445710694168,121465,21491
49.42532730102539,-328.032958984375,243.5076040384702,121465,21491
1.3543318510055542,-303.9752197265625,243.81938958033174,121465,21491
44.0390510559082,-295.2242126464844,240.86189917243283,121465,21491
-6.680144309997559,-277.2880554199219,242.37697739613472,121465,21491
-17.14569664001465,-132.93727111816406,235.3559310465898,121465,21491
-33.67163848876953,-117.87784576416016,235.5800421904014,121465,21491
3.6697230339050293,-331.50457763671875,240.41570704417956,121465,21491
15.076998710632324,-357.04071044921875,245.98742770679283,121465,21491
27.766576766967773,-344.8594665527344,241.94972044852142,121465,21491
-44.060665130615234,-332.44476318359375,242.19917280660724,121465,21491
0.9015286564826965,-369.22674560546875,244.4426118132748,121465,21491
17.78874397277832,-375.6405334472656,244.8170901805898,121465,21491
95.8985366821289,-339.8912658691406,245.18521110328425,121465,21491
85.51097869873047,-342.7772216796875,242.35117629228705,121465,21491
-46.135894775390625,-187.77320861816406,240.55596227874926,121465,21491
11.266751289367676,-192.29283142089844,238.46972481733528,121465,21491
-13.113545417785645,-204.2301483154297,240.1015631999391,121465,21491
-120.22230529785156,-377.17364501953125,254.72664572871798,121465,21491
-91.49939727783203,-361.637939453125,246.3330211540749,121465,21491
-56.590057373046875,-361.81890869140625,250.14144282306762,121465,21491
-77.43726348876953,-376.8317565917969,249.91571146460058,121465,21491
62.180965423583984,-346.57183837890625,244.4031280790892,121465,21491
-68.65550231933594,-291.32965087890625,243.74835143767035,121465,21491
79.64305114746094,-389.8541259765625,247.23833917998275,121465,21491
-44.99939727783203,-277.1372985839844,241.53705494067168,121465,21491
-62.73991394042969,-244.18182373046875,243.29553827724246,121465,21491
-41.79814529418945,-267.27996826171875,243.40689301482004,121465,21491
-55.20655822753906,-279.43780517578125,242.12704270598536,121465,21491
55.13559341430664,-356.1719665527344,249.1587802103819,121465,21491
24.47173500061035,-151.8975067138672,242.2543884415348,121465,21491
-4.097789287567139,-93.4002914428711,239.72124870552653,121465,21491
37.91046142578125,-139.9185028076172,236.93901426129776,121465,21491
0.9231389760971069,-71.93138122558594,240.21136157988062,121465,21491
21.22810173034668,-161.654052734375,242.5475891466271,121465,21491
10.413955688476562,-136.31593322753906,241.08941580956275,121465,21491
16.454492568969727,-145.1184844970703,240.73031356364964,121465,21491
-57.7489128112793,-316.2377014160156,244.1990714658513,121465,21491
-22.781597137451172,-383.615234375,246.55447063368757,121465,21491
-71.95074462890625,-301.4521789550781,241.12886477889396,121465,21491
-64.95661163330078,-309.1801452636719,241.76863377638142,121465,21491
-29.77484893798828,-375.7138671875,246.0421280855021,121465,21491
-29.306541442871094,-404.0363464355469,249.1425234534823,121465,21491
166.26100158691406,-314.8550109863281,244.0850869839707,121465,21491
159.38185119628906,-360.2299499511719,249.64815784909,121465,21491
189.5301971435547,-357.2942199707031,249.1894427416388,121465,21491
120.47834014892578,-353.9258728027344,245.62855628507248,121465,21491
131.95899963378906,-325.8768310546875,247.45872191578317,121465,21491
145.02041625976562,-366.1726989746094,244.34878249175705,121465,21491
172.71278381347656,-334.8733215332031,246.76410129113037,121465,21491
121.74308013916016,-323.7903137207031,248.01362354094516,121465,21491
169.51515197753906,-324.8374328613281,247.21199247888103,121465,21491
196.80726623535156,-350.4054260253906,247.2018921521373,121465,21491
245.60777282714844,-267.2716369628906,238.08156462812616,121465,21491
269.5935363769531,-253.74270629882812,241.16110864819169,121465,21491
282.6243896484375,-271.2919616699219,235.87787790911773,121465,21491
124.17765045166016,-264.66436767578125,242.9799181093996,121465,21491
238.323974609375,-247.61402893066406,238.67237865845033,121465,21491
293.5022277832031,-268.60772705078125,239.88924526698287,121465,21491
256.2680358886719,-241.76194763183594,236.8874484310894,121465,21491
138.4281005859375,-170.13104248046875,236.90486027036826,121465,21491
73.97237396240234,-147.4897003173828,237.6982391252742,121465,21491
97.5770034790039,-161.6403045654297,239.24482972203742,121465,21491
70.26516723632812,-165.09890747070312,238.2750513530525,121465,21491
65.30546569824219,-154.6360321044922,235.36914113072038,121465,21491
94.5118408203125,-151.82662963867188,235.83750686925657,121465,21491
124.98333740234375,-158.0259552001953,236.0726049144087,121465,21491
77.24913787841797,-157.38401794433594,236.89734496594173,121465,21491
60.54804992675781,-135.39141845703125,232.6371917203422,121465,21491
91.30348205566406,-141.90829467773438,235.70321852816835,121465,21491
118.692626953125,-285.8526611328125,239.4719627556757,121465,21491
115.27887725830078,-303.8612365722656,237.06884956924054,121465,21491
203.65103149414062,-313.7181396484375,240.15573127084832,121465,21491
203.3410186767578,-334.8204650878906,244.86610516103593,121465,21491
152.8485565185547,-302.7727966308594,242.38479943655585,121465,21491
156.0384979248047,-312.6123046875,240.2348046919786,121465,21491
224.25804138183594,-318.4237365722656,239.98999606087068,121465,21491
28.41839027404785,-36.36735153198242,235.1650943457126,121465,21491
112.6087646484375,-91.44044494628906,234.34479690082406,121465,21491
95.01762390136719,-124.1484603881836,237.0106934092627,121465,21491
48.297630310058594,-68.22369384765625,234.54996589799288,121465,21491
146.36807250976562,-214.85198974609375,239.287803664131,121465,21491
196.41659545898438,-173.39483642578125,236.53334981346205,121465,21491
213.63140869140625,-167.90150451660156,237.08321278284333,121465,21491
179.2357940673828,-178.9424591064453,236.90944049007658,121465,21491
